id,utc_date,white,black,white_elo,black_elo,opening,cp_10,cp_11,cp_12,cp_13,cp_14,avg_opening_cp
158,2015.05.31,lilpete,explodecomputer,1982,1913,Queen's Gambit Accepted: Old Variation,39,-65,-107,-161,-207,-100.2
159,2015.05.31,ligthcris,satoshi,1767,1820,Blackmar-Diemer Gambit: Teichmann Variation,-170,-170,5,-263,-266,-172.8
160,2015.05.31,Vasyaka,Vitamin69,1866,1931,Scandinavian Defense,-160,-169,-158,54,35,-79.6
161,2015.05.31,Alrrash,ELMAGISTRAL,1858,1836,Tarrasch Defense,419,411,411,323,312,375.2
162,2015.05.31,Cheesecake00,themarschall,1527,1535,"Benko Gambit Accepted, Fully Accepted Variation",133,84,107,57,92,94.6
163,2015.05.31,Noisillon,brufo,1392,1307,Ruy Lopez: Classical Variation,66,136,330,176,-271,87.4
164,2015.05.31,cardog,ndalatando,1421,1485,Grob Opening,-265,-292,602,616,639,260.0
165,2015.05.31,inadaptado,PIMPONER10,1972,1912,French Defense: Steinitz Attack,97,113,15,162,119,101.2
166,2015.05.31,zeldazaire,gisselk,1525,1486,Sicilian Defense: Classical Variation,839,100,74,72,75,232.0
167,2015.05.31,limenko,AFGR,1709,1527,Caro-Kann Defense: Hillbilly Attack,-609,-184,-98,-539,-485,-383.0
168,2015.05.31,lam199,Superboy,2202,2261,Sicilian Defense #2,12,35,58,99,101,61.0
169,2015.05.31,Pantzes,phret,1233,1167,Sicilian Defense #2,69,473,-39,-75,-86,68.4
170,2015.05.31,strelka12,godes,2271,2230,Semi-Slav Defense,-9,-15,-23,-16,-29,-18.4
171,2015.05.31,mohammad123456789,sakicek,1493,1574,King's Pawn Game: Busch-Gass Gambit,-61,-73,218,156,214,90.8
172,2015.05.31,Arthrenaid,hegel,1432,1633,Modern Defense,1,-64,-36,-135,-58,-58.4
173,2015.05.31,MarioL,Kobylka,1789,1792,Queen's Pawn Game: Anglo-Slav Opening,-9,-16,-41,30,33,-0.6
174,2015.05.31,Tuvi,LolikTutik,1220,1216,King's Knight Opening: Normal Variation,-100,91,58,316,328,138.6
175,2015.05.31,xbxbyee,Doorsofperception61,1018,969,Modern Defense,588,600,362,-321,-192,207.4
176,2015.05.31,groffoszasza,poutrelle,1652,1362,Sicilian Defense: Old Sicilian,24,118,117,117,324,140.0
177,2015.05.31,arreho,kriter,1608,1516,Ruy Lopez: Berlin Defense #2,487,488,422,338,346,416.2
178,2015.05.31,seanos,Compani,1648,1530,French Defense: Normal Variation,-5,-6,-42,-35,-28,-23.2
179,2015.05.31,AreUkidding,steviechess,1038,1435,Modern Defense,159,230,243,401,399,286.4
180,2015.05.31,Lomotr,Spoturnovsky,1323,2016,Hungarian Opening: Indian Defense,16,-32,-130,-166,-135,-89.4
181,2015.05.31,regulus-eclipse,Kingscrusher-YouTube,2168,2205,Queen's Pawn Game: Zukertort Variation,239,325,262,341,340,301.4
182,2015.05.31,jppereira,simonchiabo,1711,1733,"French Defense: Advance Variation, Paulsen Attack",10,-8,-16,-12,-18,-8.8
183,2015.05.31,gleb,Deuce,1369,1489,Rat Defense: Harmonist,2,155,605,-202,-230,66.0
184,2015.05.31,Joselito_XR,kunderiano,1962,2032,"Dutch Defense: Leningrad Variation, Matulovic Variation",57,42,34,-174,-179,-44.0
185,2015.05.31,DeepInsideYou,onetwoonetwo,1920,1973,Modern Defense,508,540,522,524,543,527.4
186,2015.05.31,Hanni-Baal,JasonVoorhees,2131,2155,"Sicilian Defense: Accelerated Dragon, Modern Variation",-93,-100,-288,-302,-275,-211.6
187,2015.05.31,kingpwn,Gallop,1726,1217,King's Gambit,348,415,480,453,378,414.8
188,2015.05.31,elwood_,Secondwave,1653,1835,Queen's Gambit Declined: Queen's Knight Variation,-50,33,6,-28,-61,-20.0
189,2015.05.31,Kirales,louisrobert,1699,1684,Sicilian Defense: Closed Variation,-16,-33,-42,-182,-194,-93.4
190,2015.05.31,Mikes84,ciapaliciapala,1333,1097,"Italian Game: Giuoco Pianissimo, Normal",88,97,108,104,189,117.2
191,2015.05.31,santamarta,SignPlus,1756,1677,King's Gambit Accepted: Modern Defense #2,-80,-76,-91,-76,-25,-69.6
192,2015.05.31,Gilitrutt,MorphyTalFischer,1908,1472,Bird Opening,26,136,140,164,188,130.8
193,2015.05.31,Networ,boe08,1319,1794,Sicilian Defense: Old Sicilian,-132,-98,-172,-174,-154,-146.0
194,2015.05.31,nebojjsa,pepeg,1801,1739,Zukertort Opening: Pirc Invitation,44,52,200,364,54,142.8
195,2015.05.31,EmmLasker,johnjohnsohn005,1769,1605,Scandinavian Defense: Kloosterboer Gambit,36,126,117,225,122,125.2
196,2015.05.31,dan815,elec92,1608,1715,Ruy Lopez: Steinitz Defense,-19,-20,-21,-20,16,-12.8
197,2015.05.31,deniskevich,Demonique,1865,1978,"Russian Game: Classical Attack, Chigorin Variation, Main Line",-37,0,-127,-125,-131,-84.0
198,2015.05.31,franciscorm18,Sky_of_Justice,1899,1548,Slav Defense #2,97,161,191,440,237,225.2
199,2015.05.31,german11,damonachey,1076,1668,Scandinavian Defense,32,-69,62,95,91,42.2
200,2015.05.31,steve_mcqueen,funkillo,2080,1536,Pirc Defense: Byrne Variation,162,-36,-22,93,135,66.4
201,2015.05.31,knightf5,ragobert,1760,1173,Sicilian Defense: Open #3,147,146,153,95,225,153.2
202,2015.05.31,futuredrama,MichaelVeNa,1573,1095,Alekhine Defense: Mokele Mbembe,493,563,597,664,606,584.6
203,2015.05.31,GMkrikor,Drive77,1904,1693,Vienna Game #2,-550,-560,-549,-625,-612,-579.2
204,2015.05.31,Miloff,red_eagle,1801,1804,Van't Kruijs Opening,137,139,148,136,55,123.0
205,2015.05.31,MNKarpov,xerop,1355,1389,Owen Defense,-405,-426,-419,-511,-494,-451.0
206,2015.05.31,Ragnarook,Josean,1263,1158,Queen's Pawn Game: Zukertort Variation,-28,38,-25,2,-98,-22.2
207,2015.05.31,haHAHAhaHA1,NMgornys,2048,1950,Ponziani Opening,215,-156,-252,-279,-314,-157.2
208,2015.05.31,MateRanger,VEGETAL,1786,1786,Rat Defense: Balogh Defense,645,647,647,710,714,672.6
209,2015.05.31,valva,kvikk,1779,1918,"Gruenfeld Defense: Three Knights Variation, Hungarian Attack",-19,-6,-16,0,0,-8.2
210,2015.05.31,jijibibak,siryj-vovk,1496,1647,Sicilian Defense,-110,-164,-155,-156,-187,-154.4
211,2015.05.31,westcove,Anoonymous,1586,1747,Van't Kruijs Opening,-53,-98,-164,-102,-110,-105.4
212,2015.05.31,Ahmad94,humb,1670,1610,French Defense: Advance Variation #3,-15,-36,-120,-174,-109,-90.8
213,2015.05.31,toumai,toonytoon72,1539,1676,Mieses Opening,-199,-184,-307,-479,-239,-281.6
214,2015.05.31,bakero,utilizator7772,1356,1537,Sicilian Defense: Bowdler Attack,153,-72,2,15,-23,15.0
215,2015.05.31,arturikooo,lad15,1081,1060,Alekhine Defense: John Tracy Gambit,178,368,451,430,263,338.0
216,2015.05.31,kaishakunin,MM1993,1410,1539,Scotch Game: Schmidt Variation,-369,-431,-275,-277,-311,-332.6
217,2015.05.31,dimpan,jamesec25,833,990,"English Opening: King's English Variation, Reversed Sicilian",133,214,0,311,413,214.2
218,2015.05.31,Ponyatno,sazatol,1500,1631,French Defense: King's Indian Attack,213,254,248,248,245,241.6
219,2015.05.31,Argedrecista,seydehashmi,1739,1792,Philidor Defense: Exchange Variation #3,42,-1,-8,-4,-25,0.8
220,2015.05.31,diaa_zahran,congatesu,1160,1148,Queen's Pawn,158,184,146,144,82,142.8
221,2015.05.31,AJTO,Crodilus,1740,1849,Caro-Kann Defense,142,189,214,222,216,196.6
